run_idx,input_size,num_nodes_small,training_score,testing_score,type
0,12.0,3.0,"[0.776 0.777 0.778 0.779 0.78  0.781 0.781 0.781 0.782 0.782 0.782 0.783
 0.783 0.784 0.784 0.784 0.785 0.785 0.785 0.785 0.785 0.786 0.786 0.786
 0.787 0.786]","[0.764 0.764 0.765 0.768 0.769 0.769 0.77  0.771 0.771 0.772 0.772 0.773
 0.773 0.772 0.772 0.773 0.773 0.773 0.773 0.774 0.774 0.774 0.775 0.774
 0.775 0.775]",Unique
0,12.0,3.0,"[0.445 0.451 0.456 0.46  0.464 0.467 0.471 0.473 0.475 0.477 0.478 0.479
 0.48  0.481 0.483 0.484 0.484 0.485 0.486 0.486 0.488 0.488 0.489 0.49
 0.49  0.491]","[0.783 0.784 0.785 0.786 0.786 0.787 0.786 0.785 0.786 0.786 0.786 0.787
 0.787 0.787 0.787 0.788 0.788 0.788 0.787 0.788 0.787 0.787 0.787 0.787
 0.787 0.788]",Local
0,12.0,3.0,"[0.45  0.459 0.469 0.471 0.476 0.477 0.483 0.487 0.489 0.49  0.493 0.491
 0.494 0.495 0.494 0.496 0.497 0.498 0.499 0.498 0.5   0.502 0.503 0.503
 0.502 0.503]","[0.768 0.772 0.771 0.775 0.774 0.774 0.774 0.774 0.774 0.774 0.775 0.776
 0.777 0.778 0.777 0.777 0.777 0.776 0.776 0.777 0.776 0.777 0.777 0.777
 0.777 0.777]",Entangled
1,13.0,3.0,"[0.795 0.795 0.797 0.798 0.799 0.8   0.8   0.801 0.801 0.802 0.802 0.803
 0.803 0.803 0.804 0.804 0.804 0.805 0.805 0.804 0.805 0.805 0.805 0.805
 0.806 0.806 0.806 0.807 0.807]","[0.773 0.774 0.775 0.776 0.776 0.777 0.778 0.778 0.779 0.779 0.779 0.778
 0.779 0.779 0.779 0.779 0.78  0.78  0.78  0.781 0.781 0.781 0.781 0.781
 0.781 0.781 0.782 0.782 0.782]",Unique
1,13.0,3.0,"[0.458 0.466 0.47  0.477 0.48  0.484 0.488 0.49  0.493 0.496 0.498 0.499
 0.5   0.501 0.502 0.503 0.504 0.506 0.507 0.509 0.51  0.511 0.512 0.512
 0.514 0.514 0.516 0.517 0.518]","[0.799 0.801 0.802 0.803 0.803 0.805 0.806 0.807 0.808 0.808 0.808 0.807
 0.808 0.809 0.81  0.809 0.809 0.809 0.809 0.809 0.809 0.809 0.808 0.807
 0.809 0.81  0.809 0.81  0.809]",Local
1,13.0,3.0,"[0.467 0.473 0.478 0.485 0.487 0.494 0.496 0.499 0.5   0.501 0.501 0.504
 0.507 0.509 0.508 0.511 0.512 0.514 0.516 0.514 0.518 0.518 0.519 0.518
 0.52  0.52  0.519 0.52  0.519]","[0.778 0.778 0.78  0.782 0.783 0.784 0.784 0.784 0.785 0.786 0.785 0.786
 0.786 0.786 0.785 0.786 0.786 0.786 0.786 0.785 0.786 0.784 0.785 0.785
 0.784 0.784 0.785 0.784 0.785]",Entangled
2,14.0,3.0,"[0.789 0.79  0.791 0.792 0.792 0.793 0.793 0.794 0.794 0.794 0.795 0.794
 0.795 0.795 0.796 0.795 0.796 0.797 0.797 0.797 0.798 0.798 0.798 0.798
 0.799 0.799 0.799 0.799 0.799 0.799 0.799 0.799]","[0.767 0.768 0.77  0.771 0.772 0.772 0.773 0.774 0.774 0.774 0.775 0.775
 0.776 0.776 0.776 0.777 0.777 0.778 0.778 0.779 0.778 0.778 0.779 0.779
 0.78  0.78  0.78  0.781 0.78  0.781 0.781 0.781]",Unique
2,14.0,3.0,"[0.451 0.457 0.463 0.468 0.472 0.475 0.48  0.481 0.484 0.486 0.488 0.489
 0.49  0.491 0.491 0.492 0.493 0.493 0.493 0.494 0.495 0.495 0.497 0.497
 0.497 0.498 0.498 0.499 0.499 0.5   0.5   0.5  ]","[0.795 0.796 0.798 0.8   0.8   0.8   0.8   0.801 0.8   0.8   0.801 0.801
 0.802 0.803 0.803 0.802 0.803 0.804 0.803 0.804 0.804 0.804 0.804 0.804
 0.804 0.804 0.804 0.804 0.804 0.804 0.805 0.805]",Local
2,14.0,3.0,"[0.456 0.464 0.464 0.471 0.477 0.48  0.482 0.484 0.487 0.487 0.487 0.49
 0.491 0.491 0.491 0.492 0.493 0.496 0.495 0.494 0.498 0.496 0.497 0.497
 0.497 0.498 0.499 0.5   0.499 0.499 0.498 0.498]","[0.775 0.778 0.78  0.781 0.782 0.782 0.784 0.783 0.784 0.785 0.785 0.786
 0.784 0.786 0.785 0.785 0.785 0.784 0.785 0.785 0.784 0.785 0.784 0.785
 0.784 0.785 0.784 0.784 0.785 0.785 0.785 0.784]",Entangled
3,11.0,3.0,"[0.774 0.774 0.776 0.777 0.777 0.777 0.777 0.778 0.778 0.779 0.779 0.78
 0.78  0.781 0.781 0.781 0.782 0.782 0.783 0.783 0.783 0.783 0.784]","[0.752 0.754 0.755 0.756 0.757 0.758 0.758 0.759 0.759 0.76  0.76  0.761
 0.761 0.761 0.761 0.761 0.761 0.761 0.761 0.762 0.762 0.762 0.762]",Unique
